CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Korlapadu B.O,521324,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.3600000,81.2500000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Vempadu B.O,521260,BO,Delivery,KRISHNA,ANDHRA PRADESH,17.390367,82.657796
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Nuzella B.O,521330,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.3000000,81.0200000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Bommuluru B.O,521330,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.3486730,81.0492300
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Krithivennu B.O,521324,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.3800000,81.3700000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Lakshmipuram B.O,521324,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.3900000,81.4400000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Malleswaram B.O,521324,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.3500000,81.2700000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Matlam B.O,521324,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.4200000,81.3900000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Mulaparru B.O,521324,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.3900000,81.2600000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Munipeda B.O,521324,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.4000000,81.3300000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Siddharthanagar B.O,521202,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.8330000,80.7880000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Polasanipalli B.O,521111,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.7300000,80.8900000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Jangamgudem B.O,521111,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.7700000,80.9000000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Bommuluru B.O,521105,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.6500000,81.0000000
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Papanasanam B.O,521132,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Ullipalem B.O,521328,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Vekanuru B.O,521122,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Vemanda B.O,521311,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.4600000,80.8900000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Tippanagunta B.O,521106,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.5700000,80.9400000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Velpucherla B.O,521207,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.7800000,81.0300000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Mukkollupadu B.O,521207,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.8400000,80.8700000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Gullapudi B.O,521213,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.8900000,80.9600000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Lopudi B.O,521213,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.9200000,80.9500000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Surepalli B.O,521213,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.9100000,80.9000000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Valasapalli B.O,521213,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.8700000,80.9800000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Korlamanda B.O,521214,BO,Delivery,KRISHNA,ANDHRA PRADESH,17.0300000,80.7700000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Kotapadu B.O,521214,BO,Delivery,KRISHNA,ANDHRA PRADESH,17.0600000,80.9200000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Kudapa B.O,521215,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.9000000,80.6900000
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Ampapuram B.O,521109,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.6000090,80.8928530
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Lakshmipuram B.O,521235,BO,Delivery,KRISHNA,ANDHRA PRADESH,17.0502730,80.5795310
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Rolupadu B.O,521235,BO,Delivery,KRISHNA,ANDHRA PRADESH,17.0507610,80.5797920
